Language,Countries,Degree of endangerment,Number of speakers,Endangerment Level,Total_Speakers,Duplicate_Columns,Endangerment_Level
sipakapense,Guatemala,definitely endangered,5687,2.0,5687,True,
siraiya,China,extinct,0,5.0,0,True,
siriano,Brazil,vulnerable,71,1.0,71,True,
siriano,Colombia,definitely endangered,1000,2.0,1000,True,
sirion,Bolivia (Plurinational State of),severely endangered,400,3.0,400,True,
sirmaudi,India,critically endangered,31144,4.0,31144,True,
sishee,New Caledonia (France),extinct,0,5.0,0,True,
sissano,Papua New Guinea,critically endangered,300,4.0,300,True,
siuslaw,United States of America,extinct,0,5.0,0,True,
sivandi,Iran (Islamic Republic of),definitely endangered,7000,2.0,7000,True,
siwi,Egypt,definitely endangered,15000,2.0,15000,True,
ske,Vanuatu,severely endangered,30,3.0,30,True,
skolt saami,"Finland, Norway, Russian Federation",severely endangered,300,3.0,300,True,
slovincian,Poland,extinct,0,5.0,0,True,
song,Cambodia,critically endangered,1000,4.0,1000,True,
sobei,Indonesia,definitely endangered,1000,2.0,1000,True,
sogoo,Kenya,extinct,1000,5.0,1000,True,
soi,Iran (Islamic Republic of),definitely endangered,7000,2.0,7000,True,
solon,China,definitely endangered,10000,2.0,10000,True,
somm,Papua New Guinea,definitely endangered,80,2.0,80,True,
somyev,"Cameroon, Nigeria",critically endangered,20,4.0,20,True,
sonora lower pima,Mexico,severely endangered,159,3.0,159,True,
sonsorol,Palau,severely endangered,600,3.0,600,True,
soo,Uganda,critically endangered,100,4.0,100,True,
soqotri,Yemen,severely endangered,50000,3.0,50000,True,
sora,India,vulnerable,250000,1.0,250000,True,
sorbian,Germany,definitely endangered,19500,2.0,19500,True,
sorsorian,Vanuatu,critically endangered,5,4.0,5,True,
south italian,Italy,vulnerable,7500000,1.0,7500000,True,
south jutish,"Germany, Denmark",definitely endangered,1000,2.0,1000,True,
south saami,"Norway, Sweden",severely endangered,500,3.0,500,True,
south slavey,Canada,definitely endangered,920,2.0,920,True,
southeastern pomo,United States of America,extinct,0,5.0,0,True,
southeastern tarahumara,Mexico,vulnerable,5406,1.0,5406,True,
southern altay,Russian Federation,definitely endangered,50000,2.0,50000,True,
southern ayta,Philippines,critically endangered,150,4.0,150,True,
southern chocho,Mexico,severely endangered,200,3.0,200,True,
southern east cree,Canada,vulnerable,4455,1.0,4455,True,
southern haida,Canada,critically endangered,55,4.0,55,True,
southern kamchadal,Russian Federation,extinct,0,5.0,0,True,
southern khanty,Russian Federation,extinct,0,5.0,0,True,
southern mansi,Russian Federation,extinct,0,5.0,0,True,
southern paiute,United States of America,severely endangered,1000,3.0,1000,True,
