Name in English,Countries,Degree of endangerment,Number of speakers
Bashkarik,Pakistan,Severely endangered,1500.0
Chintang,Nepal,Severely endangered,1500.0
Forest Nenets,Russian Federation,Severely endangered,1500.0
Hupda (Colombia),Colombia,Definitely endangered,1500.0
Jah Hut,Malaysia,Severely endangered,1500.0
Jeri,Côte d'Ivoire,Severely endangered,1500.0
Jonkor Bourmataguil,Chad,Severely endangered,1500.0
K'emant,Ethiopia,Severely endangered,1500.0
Kanashi,India,Definitely endangered,1500.0
Karajá,Brazil,Vulnerable,1500.0
Karelian (Tikhvin),Russian Federation,Severely endangered,1500.0
Kendem,Cameroon,Severely endangered,1500.0
Khamba,"China, India",Definitely endangered,1500.0
Lishpa,India,Definitely endangered,1500.0
Mayoruna (Brazil),Brazil,Vulnerable,1500.0
Mescalero-Chiricahua Apache (New Mexico),United States of America,Definitely endangered,1500.0
Numao Bunu,China,Definitely endangered,1500.0
Orang Seletar,Malaysia,Severely endangered,1500.0
Palenque Creole,Colombia,Definitely endangered,1500.0
Pong,Lao People's Democratic Republic,Definitely endangered,1500.0
Pyuma,China,Vulnerable,1500.0
Saaroa,China,Critically endangered,1500.0
Saluan,Indonesia,Vulnerable,1500.0
Semaq Beri,Malaysia,Critically endangered,1500.0
Talodi,Sudan,Critically endangered,1500.0
Wayana (Suriname),Suriname,Vulnerable,1500.0
Wik Mungkan,Australia,Vulnerable,1500.0
Natsilingmiutut,Canada,Vulnerable,1455.0
Movima,Bolivia (Plurinational State of),Severely endangered,1452.0
Ngombe,Central African Republic,Definitely endangered,1450.0
Cinta Larga,Brazil,Vulnerable,1440.0
Dupaninan Agta,Philippines,Vulnerable,1400.0
Tese,Sudan,Critically endangered,1400.0
Bororo,Brazil,Definitely endangered,1390.0
Puluwat,Micronesia (Federated States of),Severely endangered,1364.0
Kanela Rankokamekra,Brazil,Vulnerable,1337.0
Saba,Chad,Definitely endangered,1335.0
Kurripako (Brazil),Brazil,Vulnerable,1332.0
Triw,Lao People's Democratic Republic,Definitely endangered,1328.0
Guernsey French,United Kingdom of Great Britain and Northern Ireland,Severely endangered,1327.0
Paafang,Micronesia (Federated States of),Severely endangered,1318.0
Chɨlɨng,Nepal,Definitely endangered,1314.0
Zapotec of the Valleys north,Mexico,Severely endangered,1303.0
Cypriot Arabic,Cyprus,Severely endangered,1300.0
Palikur (Brazil),Brazil,Vulnerable,1300.0
Sanenyo,India,Critically endangered,1300.0
Tecóatl Mazatec,Mexico,Vulnerable,1300.0
Xinka,Guatemala,Critically endangered,1283.0
Ozomatlán Totonac,Mexico,Critically endangered,1276.0
Kāgate,Nepal,Definitely endangered,1273.0
Maxakali,Brazil,Vulnerable,1271.0
Murik,Papua New Guinea,Vulnerable,1256.0
Pengo,India,Critically endangered,1254.0
Marúbo,Brazil,Vulnerable,1252.0
Aivilingmiutut,Canada,Vulnerable,1245.0
Besme,Chad,Severely endangered,1228.0
Oirata,Indonesia,Definitely endangered,1221.0
Lohorung,Nepal,Severely endangered,1207.0
Harakmbut,Peru,Definitely endangered,1206.0
Buyang,China,Severely endangered,1200.0
Dakka,Indonesia,Vulnerable,1200.0
Mah Meri,Malaysia,Severely endangered,1200.0
Manjui,"Argentina, Bolivia (Plurinational State of), Paraguay",Definitely endangered,1200.0
Te'un (Seram Island),Indonesia,Definitely endangered,1200.0
Tsou,China,Vulnerable,1200.0
Ujir,Indonesia,Definitely endangered,1200.0
White Gelao (China),China,Severely endangered,1200.0
Dakkang,Lao People's Democratic Republic,Definitely endangered,1198.0
Northern Algonquin,Canada,Vulnerable,1180.0
Akawaio (Brazil),Brazil,Vulnerable,1170.0
Huehuetlán Mazatec,Mexico,Vulnerable,1169.0
Trio (Brazil),Brazil,Vulnerable,1156.0
Savo,Solomon Islands,Definitely endangered,1147.0
Tektitek,Guatemala,Definitely endangered,1144.0
Fwâi,New Caledonia (France),Vulnerable,1131.0
Waimirí-Atroarí,Brazil,Vulnerable,1120.0
Guayabero,Colombia,Definitely endangered,1118.0
Fagauvea (Northern),New Caledonia (France),Vulnerable,1107.0
Fagauvea (Southern),New Caledonia (France),Vulnerable,1107.0
Fania,Chad,Severely endangered,1100.0
Ubi,Chad,Severely endangered,1100.0
Warnang,Sudan,Severely endangered,1100.0
Itzá,Guatemala,Critically endangered,1094.0
Mixtec of the southwest of Puebla,Mexico,Definitely endangered,1074.0
Lowland Chontal,Mexico,Critically endangered,1060.0
Koireng,India,Critically endangered,1056.0
Chipaya,Bolivia (Plurinational State of),Definitely endangered,1050.0
Mokilese,Micronesia (Federated States of),Critically endangered,1050.0
Western Náhuatl,Mexico,Severely endangered,1041.0
Acatepec Mazatec,Mexico,Vulnerable,1038.0
Mixtec of Villa de Tututepec,Mexico,Definitely endangered,1019.0
Toda,India,Critically endangered,1006.0
Adabe,Timor-Leste,Vulnerable,1000.0
Alutor,Russian Federation,Severely endangered,1000.0
Arapaho (Wyoming),United States of America,Severely endangered,1000.0
Beeke,Democratic Republic of the Congo,Severely endangered,1000.0
Blackfoot (United States of America),United States of America,Definitely endangered,1000.0
Bohtan Neo-Aramaic,"Georgia, Russian Federation",Severely endangered,1000.0
Bola,China,Definitely endangered,1000.0
Bong'om,Kenya,Definitely endangered,1000.0
Bora,"Colombia, Peru",Vulnerable,1000.0
Central Siberian Yupik (St. Lawrence Island),United States of America,Definitely endangered,1000.0
Chali,Bhutan,Definitely endangered,1000.0
Cherokee (North Carolina),United States of America,Severely endangered,1000.0
Cocama-Cocamilla (Peru),Peru,Severely endangered,1000.0
Dair,Sudan,Severely endangered,1000.0
Dakpa,"Bhutan, India",Definitely endangered,1000.0
Dampelas,Indonesia,Definitely endangered,1000.0
Danaw,Myanmar,Critically endangered,1000.0
Ega,Côte d'Ivoire,Severely endangered,1000.0
El Hugeirat,Sudan,Severely endangered,1000.0
Faghani,Solomon Islands,Vulnerable,1000.0
Fongoro,Chad,Severely endangered,1000.0
Gambiri,Afghanistan,Severely endangered,1000.0
Gongduk,Bhutan,Vulnerable,1000.0
Gorap,Indonesia,Definitely endangered,1000.0
Guugu Yimidhirr,Australia,Vulnerable,1000.0
Gyem,Nigeria,Critically endangered,1000.0
Habu,Timor-Leste,Vulnerable,1000.0
Hawaiian,United States of America,Critically endangered,1000.0
Hértevin,Turkey,Critically endangered,1000.0
Hu,China,Definitely endangered,1000.0
Hualapai,United States of America,Vulnerable,1000.0
Hung,"Lao People's Democratic Republic, Viet Nam",Definitely endangered,1000.0
Inkhokvari,Russian Federation,Definitely endangered,1000.0
Ishkashimi,Tajikistan,Severely endangered,1000.0
Iyive,Cameroon,Severely endangered,1000.0
Jiongnai Bunu,China,Definitely endangered,1000.0
Kaande,Gabon,Severely endangered,1000.0
Kaco',Cambodia,Definitely endangered,1000.0
Kadu,Myanmar,Severely endangered,1000.0
Kairui-Midiki,Timor-Leste,Vulnerable,1000.0
Kari,Democratic Republic of the Congo,Severely endangered,1000.0
Kayabi,Brazil,Vulnerable,1000.0
Khowa,India,Definitely endangered,1000.0
Kodeoha,Indonesia,Vulnerable,1000.0
Kujarge,Chad,Definitely endangered,1000.0
Kukatja,Australia,Vulnerable,1000.0
Kuot,Papua New Guinea,Vulnerable,1000.0
Lokono (Suriname),"French Guiana (France), Suriname",Severely endangered,1000.0
Mahongwe,Gabon,Severely endangered,1000.0
Manchurian Ölöt,China,Severely endangered,1000.0
May,"Lao People's Democratic Republic, Viet Nam",Definitely endangered,1000.0
Mbara,Chad,Severely endangered,1000.0
Mech,India,Severely endangered,1000.0
Mòcheno,Italy,Definitely endangered,1000.0
Naueti,Timor-Leste,Vulnerable,1000.0
North Greenlandic,Greenland (Kingdom of Denmark),Definitely endangered,1000.0
Ormuri,"Pakistan, Afghanistan",Definitely endangered,1000.0
Paiter,Brazil,Vulnerable,1000.0
Pareci,Brazil,Definitely endangered,1000.0
Pasi,India,Definitely endangered,1000.0
Resian,Italy,Definitely endangered,1000.0
Sach,"Lao People's Democratic Republic, Viet Nam",Definitely endangered,1000.0
Sake,Gabon,Severely endangered,1000.0
Saterlandic,Germany,Severely endangered,1000.0
She,China,Critically endangered,1000.0
Shumashti,Afghanistan,Severely endangered,1000.0
Sighu,Gabon,Severely endangered,1000.0
Sobei,Indonesia,Definitely endangered,1000.0
Thavung (Laos),"Lao People's Democratic Republic, Thailand",Definitely endangered,1000.0
Tirma,Sudan,Critically endangered,1000.0
Tombelala,Indonesia,Vulnerable,1000.0
Toto,India,Critically endangered,1000.0
Trio (Suriname),Suriname,Vulnerable,1000.0
Tum,Lao People's Democratic Republic,Definitely endangered,1000.0
Tuotomb,Cameroon,Severely endangered,1000.0
Yatê,Brazil,Severely endangered,1000.0
Zaiwa,"China, India",Definitely endangered,1000.0
Zay,Ethiopia,Severely endangered,1000.0
Zenaga (Western Sahara),Western Sahara,Critically endangered,1000.0
|Gui,Botswana,Vulnerable,1000.0
ǁAni,Botswana,Definitely endangered,1000.0
Buglé,Panama,Definitely endangered,993.0
Ka'apór,Brazil,Vulnerable,991.0
Hadza,United Republic of Tanzania,Vulnerable,975.0
Kunwinjku,Australia,Vulnerable,974.0
Bakairi,Brazil,Vulnerable,950.0
Drubea,New Caledonia (France),Vulnerable,946.0
Namonuito,Micronesia (Federated States of),Severely endangered,944.0
Hya,"Cameroon, Nigeria",Severely endangered,940.0
Machineri (Brazil),Brazil,Vulnerable,937.0
South Slavey,Canada,Definitely endangered,920.0
Wajãpi,Brazil,Vulnerable,905.0
Mewahang,Nepal,Severely endangered,904.0
Awapit,Ecuador,Severely endangered,900.0
Chimila,Colombia,Severely endangered,900.0
Kua,Botswana,Definitely endangered,900.0
Njalgulgule,Sudan,Severely endangered,900.0
Pech,Honduras,Severely endangered,900.0
Rikbaktsa,Brazil,Severely endangered,900.0
Caac,New Caledonia (France),Vulnerable,890.0
Inuinnaqtun,Canada,Definitely endangered,890.0
Voh-Koné dialects,New Caledonia (France),Definitely endangered,878.0
Kuna (Colombia),Colombia,Severely endangered,876.0
Dení,Brazil,Vulnerable,875.0
Tarao,India,Critically endangered,870.0
Santa María del Mar Huave,Mexico,Severely endangered,862.0
Nukuoro,Micronesia (Federated States of),Definitely endangered,860.0
Mixtec of Santa Cruz Itundujia,Mexico,Definitely endangered,851.0
"Zapotec of the Southern mountains, northeast",Mexico,Definitely endangered,849.0
Kumak,New Caledonia (France),Vulnerable,847.0
Pukapukan,Cook Islands,Definitely endangered,840.0
Lola,Indonesia,Vulnerable,830.0
Ashaninka (Brazil),Brazil,Vulnerable,813.0
Ottawa (Canada),"Canada, United States of America",Severely endangered,810.0
Bati,Cameroon,Severely endangered,800.0
Chorote Iyojwa'ja,"Argentina, Paraguay",Severely endangered,800.0
Eman,Cameroon,Severely endangered,800.0
Isu,Cameroon,Severely endangered,800.0
Jamamadí,Brazil,Vulnerable,800.0
Javaé,Brazil,Definitely endangered,800.0
Nubaca,Cameroon,Severely endangered,800.0
Panasuan,Indonesia,Definitely endangered,800.0
Piaroa (Colombia),Colombia,Definitely endangered,800.0
Taos,United States of America,Definitely endangered,800.0
Taulil,Papua New Guinea,Vulnerable,800.0
Tuyuca (Brazil),Brazil,Vulnerable,800.0
Kaike,Nepal,Definitely endangered,794.0
Kildin Saami,Russian Federation,Severely endangered,787.0
Ese eja,"Bolivia (Plurinational State of), Peru",Definitely endangered,782.0
Central Cagayan Agta,Philippines,Vulnerable,779.0
Mixtec of Santa Inés de Zaragoza,Mexico,Definitely endangered,775.0
Ocopetatillo Mazatec,Mexico,Vulnerable,757.0
Jaqaru,Peru,Severely endangered,750.0
Waiwai (Suriname),Suriname,Critically endangered,750.0
Laal,Chad,Critically endangered,749.0
Ulcha,Russian Federation,Critically endangered,732.0
Jawe,New Caledonia (France),Vulnerable,729.0
Maslam,"Cameroon, Chad",Severely endangered,723.0
Nambiquara do Sul,Brazil,Vulnerable,721.0
North Slavey,Canada,Definitely endangered,720.0
Gitksan,Canada,Severely endangered,710.0
A'ingae / Cofan (Ecuador),Ecuador,Definitely endangered,700.0
Animere,Ghana,Critically endangered,700.0
Batek,Malaysia,Critically endangered,700.0
Enggano,Indonesia,Vulnerable,700.0
Indri,Sudan,Severely endangered,700.0
Kalaw Lagaw Ya,Australia,Definitely endangered,700.0
Lakon,Vanuatu,Vulnerable,700.0
Mok (China),China,Definitely endangered,700.0
Ngaanyatjarra,Australia,Vulnerable,700.0
Ngatikese Men's Creole,Micronesia (Federated States of),Definitely endangered,700.0
Piratapuya (Brazil),Brazil,Severely endangered,700.0
Mountain Guarijío,Mexico,Vulnerable,696.0
Nivkh (Sakhalin),Russian Federation,Severely endangered,688.0
Krikati,Brazil,Vulnerable,682.0
Dakota,Canada,Definitely endangered,675.0
Carrier,Canada,Severely endangered,660.0
Matlatzinca,Mexico,Definitely endangered,651.0
Kasanga,Guinea-Bissau,Critically endangered,650.0
Wanano / Kotiria (Brazil),Brazil,Vulnerable,650.0
Central Popoloc,Mexico,Severely endangered,641.0
Eastern Ojibwe,Canada,Severely endangered,620.0
River Guarijío,Mexico,Vulnerable,617.0
Yuhup (Brazil),Brazil,Vulnerable,617.0
Ocoyoacac Otomí,Mexico,Severely endangered,609.0
Akum,"Cameroon, Nigeria",Critically endangered,600.0
Blablanga,Solomon Islands,Definitely endangered,600.0
Bubia,Cameroon,Severely endangered,600.0
Chickasaw,United States of America,Severely endangered,600.0
Desano (Brazil),Brazil,Definitely endangered,600.0
Faetar,Italy,Definitely endangered,600.0
Hixkaryána,Brazil,Vulnerable,600.0
Hoava,Solomon Islands,Vulnerable,600.0
Hodi,Venezuela (Bolivarian Republic of),Vulnerable,600.0
Iñapari,Peru,Critically endangered,600.0
Koke,Chad,Severely endangered,600.0
Kowiai,Indonesia,Vulnerable,600.0
Kuikuro,Brazil,Vulnerable,600.0
Laiyolo,Indonesia,Definitely endangered,600.0
Mo'da,Sudan,Critically endangered,600.0
Northern Selkup,Russian Federation,Severely endangered,600.0
Penrhyn,Cook Islands,Severely endangered,600.0
Pintupi,Australia,Vulnerable,600.0
Piratapuya (Colombia),Colombia,Critically endangered,600.0
Siona / Secoya (Ecuador),Ecuador,Severely endangered,600.0
Sonsorol,Palau,Severely endangered,600.0
Teanu,Solomon Islands,Definitely endangered,600.0
Yaminahua (Brazil),Brazil,Vulnerable,600.0
Andoke,Colombia,Severely endangered,597.0
Southern Tlapanec,Mexico,Severely endangered,592.0
Orowe,New Caledonia (France),Definitely endangered,587.0
Mosetén,Bolivia (Plurinational State of),Severely endangered,585.0
Chatong,Lao People's Democratic Republic,Definitely endangered,580.0
Norfolk-Pitcairn (Norfolk),Norfolk Island (Australia),Definitely endangered,580.0
Nunatsiavummiutut,Canada,Definitely endangered,575.0
Shuswap,Canada,Definitely endangered,570.0
Xaragure,New Caledonia (France),Vulnerable,566.0
Tapirapé,Brazil,Vulnerable,564.0
Lacandón,Mexico,Critically endangered,563.0
Zapotec of Zimatlán de Álvarez,Mexico,Definitely endangered,562.0
Chilcotin,Canada,Definitely endangered,560.0
Chácobo,Bolivia (Plurinational State of),Definitely endangered,550.0
Gao,Solomon Islands,Vulnerable,550.0
Geme,Central African Republic,Critically endangered,550.0
Karore,Papua New Guinea,Vulnerable,550.0
Yuhup (Colombia),Colombia,Definitely endangered,550.0
Western Tlapanec,Mexico,Vulnerable,549.0
Hinukh,Russian Federation,Definitely endangered,548.0
Anuki,Papua New Guinea,Definitely endangered,542.0
Imeraguen,Mauritania,Definitely endangered,534.0
Narpa,Nepal,Definitely endangered,533.0
Akatek (Mexico),Mexico,Vulnerable,532.0
Naskapi,Canada,Vulnerable,525.0
Archi,Russian Federation,Definitely endangered,524.0
Yawanawá,Brazil,Vulnerable,519.0
Raute,Nepal,Severely endangered,518.0
Seri,Mexico,Vulnerable,518.0
Western Popoloc,Mexico,Severely endangered,516.0
Yaqui (United States of America),United States of America,Definitely endangered,510.0
Kalapalo,Brazil,Vulnerable,506.0
Nganasan,Russian Federation,Severely endangered,505.0
Jakaltek (Mexico),Mexico,Severely endangered,504.0
Zapotec of San Antonino el Alto,Mexico,Definitely endangered,504.0
Purum,India,Critically endangered,503.0
Aheu,Lao People's Democratic Republic,Definitely endangered,500.0
Amahuaca,Peru,Severely endangered,500.0
Anfillo,Ethiopia,Critically endangered,500.0
Arbanasi,Croatia,Severely endangered,500.0
Baniva,Venezuela (Bolivarian Republic of),Severely endangered,500.0
Bataan Ayta,Philippines,Definitely endangered,500.0
Bats,Georgia,Severely endangered,500.0
Black Mountain,Bhutan,Definitely endangered,500.0
Busoa,Indonesia,Vulnerable,500.0
Chong,"Cambodia, Thailand",Severely endangered,500.0
Domaaki,Pakistan,Severely endangered,500.0
Ganan,Myanmar,Severely endangered,500.0
Havasupai,United States of America,Definitely endangered,500.0
Kensiw (Thailand),Thailand,Severely endangered,500.0
Khmin,China,Vulnerable,500.0
Khvarshi,Russian Federation,Definitely endangered,500.0
Kundal Shahi,"India, Pakistan",Definitely endangered,500.0
Laghuu,Viet Nam,Definitely endangered,500.0
Laha (Lao Cai),Viet Nam,Definitely endangered,500.0
Laha (Son La),Viet Nam,Definitely endangered,500.0
Langa,Cameroon,Severely endangered,500.0
Laxudumau,Papua New Guinea,Vulnerable,500.0
Majera,Cameroon,Critically endangered,500.0
Maliseet-Passamaquoddy,United States of America,Severely endangered,500.0
Mikasuki,United States of America,Vulnerable,500.0
Mlomp,Senegal,Critically endangered,500.0
Onin,Indonesia,Vulnerable,500.0
Ormu,Indonesia,Vulnerable,500.0
Palikur (French Guyana),French Guiana (France),Severely endangered,500.0
Pemon (Brazil),Brazil,Vulnerable,500.0
Quechua of Chachapoyas,Peru,Critically endangered,500.0
Samatu,China,Critically endangered,500.0
Seke,Nepal,Vulnerable,500.0
Siona / Secoya (Colombia),Colombia,Critically endangered,500.0
South Saami,"Norway, Sweden",Severely endangered,500.0
Taikat,Indonesia,Definitely endangered,500.0
Taloki,Indonesia,Definitely endangered,500.0
Tamki,Chad,Critically endangered,500.0
Tawahka,Honduras,Severely endangered,500.0
Thavung (Thailand),Thailand,Severely endangered,500.0
Tomadino,Indonesia,Definitely endangered,500.0
Toratán,Indonesia,Definitely endangered,500.0
Tunisian Judeo-Arabic (Tunisia),Tunisia,Critically endangered,500.0
Ulwa,Nicaragua,Severely endangered,500.0
"Ute (Colorado, Ute Mountain)",United States of America,Severely endangered,500.0
Walmajarri,Australia,Definitely endangered,500.0
Warekena (Venezuela),Venezuela (Bolivarian Republic of),Severely endangered,500.0
Boguru,"Democratic Republic of the Congo, Sudan",Critically endangered,494.0
Pukobyê,Brazil,Vulnerable,494.0
Swoeng,Lao People's Democratic Republic,Definitely endangered,492.0
Wali,Sudan,Critically endangered,487.0
Gavião do Pará,Brazil,Vulnerable,476.0
Malecite,"Canada, United States of America",Definitely endangered,475.0
Ninam (Brazil),Brazil,Vulnerable,466.0
Zoró,Brazil,Vulnerable,464.0
Sanema (Brazil),Brazil,Vulnerable,462.0
Ixtenco Otomí,Mexico,Severely endangered,461.0
Ottawa (Michigan),United States of America,Critically endangered,459.0
Kanela Apaniekra,Brazil,Vulnerable,458.0
Satawal,Micronesia (Federated States of),Severely endangered,458.0
Chatino of Zacatepec,Mexico,Definitely endangered,453.0
Demisa,Indonesia,Definitely endangered,450.0
Koasati (Louisiana),United States of America,Definitely endangered,450.0
Koasati (Texas),United States of America,Definitely endangered,450.0
Nanti,Peru,Vulnerable,450.0
Shabo,Ethiopia,Severely endangered,450.0
Sharanahua,Peru,Severely endangered,450.0
Siona  Secoya (Peru),Peru,Definitely endangered,450.0
Tolomako,Vanuatu,Definitely endangered,450.0
Enawenê-Nawê,Brazil,Vulnerable,445.0
Valle Nacional Chinantec,Mexico,Definitely endangered,442.0
Gavião de Rondônia,Brazil,Vulnerable,436.0
Tabasco Náhuatl,Mexico,Critically endangered,434.0
Sera,Papua New Guinea,Severely endangered,432.0
Yecuana (Brazil),Brazil,Vulnerable,430.0
Alabugat Tatar,Russian Federation,Definitely endangered,422.0
"Zapotec of the Southern mountains, eastern lowlands",Mexico,Definitely endangered,420.0
Western Otomí,Mexico,Severely endangered,415.0
Moose Cree,Canada,Vulnerable,405.0
Tlahuica,Mexico,Severely endangered,405.0
Katukina do Acre,Brazil,Severely endangered,404.0
Abai Sungai,Malaysia,Definitely endangered,400.0
Barasana (Colombia),Colombia,Critically endangered,400.0
Beezen,Cameroon,Severely endangered,400.0
Buga,Sudan,Critically endangered,400.0
Cheyenne (Oklahoma),United States of America,Severely endangered,400.0
Cimbrian,Italy,Definitely endangered,400.0
Cobiana,"Guinea-Bissau, Senegal",Critically endangered,400.0
Dagur (Amur),China,Critically endangered,400.0
Dahalo,Kenya,Severely endangered,400.0
Émérillon,French Guiana (France),Severely endangered,400.0
Gagauz (Maritime),"Bulgaria, Romania",Severely endangered,400.0
Hijuk,Cameroon,Critically endangered,400.0
Hobyot,"Oman, Yemen",Severely endangered,400.0
Inari Saami,Finland,Severely endangered,400.0
Istriot,Croatia,Severely endangered,400.0
Kalao,Indonesia,Definitely endangered,400.0
Kamaiurá,Brazil,Vulnerable,400.0
Kickapoo (Kansas),United States of America,Severely endangered,400.0
Kickapoo (Oklahoma),United States of America,Severely endangered,400.0
Kickapoo (Texas),United States of America,Severely endangered,400.0
Kiowa,United States of America,Severely endangered,400.0
Koroni,Indonesia,Definitely endangered,400.0
Lamongse,India,Critically endangered,400.0
Ndunda,Nigeria,Severely endangered,400.0
Northern Paiute (Nevada),United States of America,Definitely endangered,400.0
Pupeo,China,Definitely endangered,400.0
Rapa,French Polynesia (France),Severely endangered,400.0
Red Gelao (China),China,Critically endangered,400.0
Sengseng,Papua New Guinea,Vulnerable,400.0
Sirionó,Bolivia (Plurinational State of),Severely endangered,400.0
Talondo,Indonesia,Definitely endangered,400.0
"Yaminahua (Bolivia, Peru)","Bolivia (Plurinational State of), Peru",Severely endangered,400.0
Mixtec of Zapotitlán,Mexico,Severely endangered,396.0
Sanema (Venezuela),Venezuela (Bolivarian Republic of),Vulnerable,393.0
Ts'ixa,Botswana,Definitely endangered,390.0
Pirahã,Brazil,Vulnerable,389.0
Mixtec of San Pedro Tidaá,Mexico,Severely endangered,384.0
Yerong,China,Severely endangered,380.0
A'ingae / Cofan (Colombia),Colombia,Severely endangered,379.0
Halkomelem,"Canada, United States of America",Severely endangered,375.0
Yudja,Brazil,Vulnerable,362.0
Kisêdjê,Brazil,Vulnerable,351.0
Auye,Indonesia,Vulnerable,350.0
Awyi,Indonesia,Vulnerable,350.0
Bierebo,Vanuatu,Vulnerable,350.0
Fayu,Indonesia,Vulnerable,350.0
Labo,Vanuatu,Vulnerable,350.0
Mra,"China, India",Critically endangered,350.0
Myky,Brazil,Vulnerable,350.0
Na,"China, India",Critically endangered,350.0
Nadëb,Brazil,Definitely endangered,350.0
Taje,Indonesia,Critically endangered,350.0
Tenharim,Brazil,Severely endangered,350.0
Mako,Venezuela (Bolivarian Republic of),Critically endangered,345.0
Barām,Nepal,Critically endangered,342.0
Ikpeng,Brazil,Vulnerable,342.0
Gardiol,Italy,Severely endangered,340.0
Araweté,Brazil,Vulnerable,339.0
Northern Pame,Mexico,Definitely endangered,337.0
Thompson,Canada,Severely endangered,335.0
Serili,Indonesia,Vulnerable,328.0
Kaningara,Papua New Guinea,Vulnerable,327.0
Misantla Totonac,Mexico,Critically endangered,325.0
Nemi,New Caledonia (France),Definitely endangered,325.0
Nambiquara do Norte,Brazil,Vulnerable,323.0
Matís,Brazil,Vulnerable,322.0
Wauja,Brazil,Vulnerable,321.0
Benggoi,Indonesia,Definitely endangered,320.0
Karitiana,Brazil,Vulnerable,320.0
Apalai,Brazil,Vulnerable,317.0
Kwak'wala,"Canada, United States of America",Critically endangered,315.0
Southern Zoque,Mexico,Definitely endangered,312.0
Tilung,Nepal,Definitely endangered,310.0
Opuuo,Ethiopia,Critically endangered,307.0
Panará,Brazil,Vulnerable,306.0
Aka,India,Critically endangered,300.0
Bakole,Cameroon,Critically endangered,300.0
Bathari,Oman,Critically endangered,300.0
Brokkat,Bhutan,Definitely endangered,300.0
Duwet,Papua New Guinea,Vulnerable,300.0
Faire Atta,Philippines,Severely endangered,300.0
Green Gelao (China),China,Critically endangered,300.0
Green Gelao (Viet Nam),Viet Nam,Critically endangered,300.0
Guatuso,Costa Rica,Severely endangered,300.0
Gupapuyngu,Australia,Vulnerable,300.0
Istro-Romanian,Croatia,Severely endangered,300.0
Jicarilla Apache,United States of America,Severely endangered,300.0
Kandas,Papua New Guinea,Vulnerable,300.0
Kangjia,China,Severely endangered,300.0
Kaxarari,Brazil,Critically endangered,300.0
Kwansu,Indonesia,Vulnerable,300.0
Legenyem,Indonesia,Vulnerable,300.0
Mandaic,"Iran (Islamic Republic of), Iraq",Critically endangered,300.0
Mangareva,French Polynesia (France),Severely endangered,300.0
Mani,"Guinea, Sierra Leone",Critically endangered,300.0
Maniq,Thailand,Definitely endangered,300.0
Mono,Cameroon,Critically endangered,300.0
Northern Paiute (Oregon),United States of America,Critically endangered,300.0
Phong,Lao People's Democratic Republic,Definitely endangered,300.0
Shanenawa,Brazil,Vulnerable,300.0
Sissano,Papua New Guinea,Critically endangered,300.0
Skolt Saami,"Finland, Norway, Russian Federation",Severely endangered,300.0
Tarpia,Indonesia,Severely endangered,300.0
Tause,Indonesia,Vulnerable,300.0
Thaayorre,Australia,Definitely endangered,300.0
Tlingit (United States of America),United States of America,Critically endangered,300.0
Tol,Honduras,Critically endangered,300.0
Tsakonian,Greece,Critically endangered,300.0
Tuahka,Nicaragua,Severely endangered,300.0
Ute (Utah),United States of America,Severely endangered,300.0
Vedda,Sri Lanka,Definitely endangered,300.0
Vera'a,Vanuatu,Definitely endangered,300.0
Warapu,Papua New Guinea,Severely endangered,300.0
Waru,Indonesia,Definitely endangered,300.0
Yawarana,Venezuela (Bolivarian Republic of),Severely endangered,300.0
Yimas,Papua New Guinea,Severely endangered,300.0
Tilapa Otomí,Mexico,Severely endangered,292.0
Paumarí,Brazil,Severely endangered,290.0
Wayana (Brazil),Brazil,Vulnerable,288.0
Achagua,Colombia,Severely endangered,283.0
Guajá,Brazil,Vulnerable,283.0
Maniwaki Algonquin,Canada,Severely endangered,280.0
Alabama,United States of America,Definitely endangered,275.0
Cocopa (Arizona),United States of America,Severely endangered,275.0
Miltu,Chad,Critically endangered,272.0
Arara do Pará,Brazil,Vulnerable,271.0
Kaki Ae,Papua New Guinea,Vulnerable,266.0
Nisga'a,Canada,Severely endangered,265.0
"Zapotec of the Valleys, central",Mexico,Severely endangered,257.0
Bosilewa,Papua New Guinea,Vulnerable,250.0
Caquinte Campa,Peru,Definitely endangered,250.0
Gwich'in (Canada),Canada,Severely endangered,250.0
Kaibobo,Indonesia,Definitely endangered,250.0
Kaiep,Papua New Guinea,Vulnerable,250.0
Kaiy,Indonesia,Vulnerable,250.0
Laji,China,Critically endangered,250.0
Lehali,Vanuatu,Vulnerable,250.0
Lillooet,Canada,Severely endangered,250.0
Löyöp,Vanuatu,Vulnerable,250.0
Nyangumarta,Australia,Vulnerable,250.0
Pear,Cambodia,Severely endangered,250.0
Ruc,"Lao People's Democratic Republic, Viet Nam",Definitely endangered,250.0
Sause,Indonesia,Severely endangered,250.0
Texistepecan,Mexico,Severely endangered,250.0
Winnebago (Nebraska),United States of America,Severely endangered,250.0
Winnebago (Wisconsin),United States of America,Severely endangered,250.0
Zapotec of San Bartolo Yautepec,Mexico,Severely endangered,246.0
Mixtec of San Miguel Piedras,Mexico,Severely endangered,243.0
North Alaskan Inupiaq (Canada),Canada,Severely endangered,240.0
Waiwai (Guyana),Guyana,Vulnerable,240.0
As,Indonesia,Vulnerable,230.0
Siglitun,Canada,Severely endangered,230.0
K'iche' (Mexico),Mexico,Definitely endangered,226.0
