Name in English,Countries,Degree of endangerment,Number of speakers
Dagur (Nonni),China,Definitely endangered,100000.0
Francoprovençal,"France, Italy, Switzerland",Definitely endangered,100000.0
Gallurese,Italy,Definitely endangered,100000.0
Mapuche (Argentina),Argentina,Severely endangered,100000.0
Mehri,"Oman, Yemen",Definitely endangered,100000.0
Miskito (Nicaragua),Nicaragua,Vulnerable,100000.0
Ordos,China,Definitely endangered,100000.0
Quechua of Northern Bolivia,Bolivia (Plurinational State of),Vulnerable,100000.0
Suba,"Kenya, United Republic of Tanzania",Vulnerable,100000.0
Garífuna (Honduras),Honduras,Vulnerable,98000.0
Embera (Colombia),Colombia,Vulnerable,95000.0
Kabui,India,Vulnerable,95000.0
Shughni,"Tajikistan, Afghanistan",Vulnerable,95000.0
Permyak,Russian Federation,Definitely endangered,94328.0
Poqomchi',Guatemala,Vulnerable,92941.0
Yimchungru,India,Vulnerable,92000.0
Nogay (Caucasus),Russian Federation,Definitely endangered,90020.0
Heiban,Sudan,Vulnerable,90000.0
Quichua (Cañar and Azuay),Ecuador,Severely endangered,90000.0
Mezquital Otomí,Mexico,Definitely endangered,88789.0
Eastern Mazahua,Mexico,Definitely endangered,88001.0
Burushaski,Pakistan,Vulnerable,87000.0
Central Otomí,Mexico,Definitely endangered,84593.0
Chokri,India,Vulnerable,84000.0
Sangtam,India,Vulnerable,84000.0
Ixil (Guatemala),Guatemala,Vulnerable,83574.0
Achi',Guatemala,Vulnerable,82640.0
Yem,Ethiopia,Vulnerable,81613.0
Mao,India,Vulnerable,81000.0
Arbëresh,Italy,Definitely endangered,80000.0
Lari,Iran (Islamic Republic of),Definitely endangered,80000.0
Páez,Colombia,Definitely endangered,80000.0
Quechua of Santiago del Estero,Argentina,Definitely endangered,80000.0
Svan,Georgia,Definitely endangered,80000.0
Tai Daeng,"Lao People's Democratic Republic, Viet Nam",Vulnerable,80000.0
Taznatit,Algeria,Severely endangered,80000.0
Razihi,Yemen,Definitely endangered,75000.0
Wakhi,"China, Pakistan, Tajikistan, Afghanistan",Definitely endangered,75000.0
Bishnupriya Manipuri Creole,"Bangladesh, India",Vulnerable,72899.0
Acheron,Sudan,Severely endangered,70000.0
Maori,New Zealand,Vulnerable,70000.0
Tai Neua,Lao People's Democratic Republic,Vulnerable,70000.0
Bhadravahi,"India, Pakistan",Definitely endangered,66918.0
Kinnauri,India,Definitely endangered,65097.0
Gallo-Sicilian,Italy,Definitely endangered,65000.0
Kurux (Bangladesh),Bangladesh,Vulnerable,65000.0
Tz'utujil,Guatemala,Definitely endangered,63237.0
Chamorro,Guam (U.S.A.),Vulnerable,62500.0
Ashaninka (Peru),Peru,Vulnerable,62468.0
Chang,India,Vulnerable,62000.0
Kuna (Panama),Panama,Vulnerable,61703.0
Churahi,India,Definitely endangered,61199.0
Nruanghmei,India,Vulnerable,61000.0
Rengma,India,Vulnerable,61000.0
Faroese,Faroe Islands,Vulnerable,60000.0
Northern Tujia,China,Severely endangered,60000.0
Torwali,Pakistan,Definitely endangered,60000.0
Chuj (Guatemala),Guatemala,Vulnerable,59048.0
Kachari,India,Definitely endangered,59000.0
Scottish Gaelic,United Kingdom of Great Britain and Northern Ireland,Definitely endangered,58552.0
Sierra de Puebla Náhuatl,Mexico,Definitely endangered,57189.0
Limonese Creole,Costa Rica,Definitely endangered,55000.0
Kashubian,Poland,Severely endangered,53000.0
Khakas,Russian Federation,Definitely endangered,52217.0
Parji,India,Critically endangered,51216.0
Arvanitika,Greece,Severely endangered,50000.0
Buryat (Cis-Baikal),Russian Federation,Severely endangered,50000.0
Buryat (Manchuria),"China, Mongolia",Definitely endangered,50000.0
Cuona Menba,"Bhutan, China, India",Vulnerable,50000.0
Eastern Cham,Viet Nam,Definitely endangered,50000.0
Hmar,India,Vulnerable,50000.0
Huzhu Monguor,China,Severely endangered,50000.0
Paite,India,Vulnerable,50000.0
Quichua (Imbabura),Ecuador,Definitely endangered,50000.0
Soqotri,Yemen,Severely endangered,50000.0
Southern Altay,Russian Federation,Definitely endangered,50000.0
Transylvanian Saxon,Romania,Severely endangered,50000.0
Turoyo,"Syrian Arab Republic, Turkey",Severely endangered,50000.0
Võro-Seto,"Estonia, Russian Federation",Definitely endangered,50000.0
West Greenlandic,Greenland (Kingdom of Denmark),Vulnerable,50000.0
Western Armenian (Turkey),Turkey,Definitely endangered,50000.0
Zaramo,United Republic of Tanzania,Definitely endangered,50000.0
Zenatiya,Algeria,Critically endangered,50000.0
Papantla Totonac,Mexico,Definitely endangered,49748.0
Wancho,India,Vulnerable,49000.0
Bhumji,India,Vulnerable,47000.0
Cosung (China),China,Definitely endangered,47000.0
Cosung (Viet Nam),Viet Nam,Definitely endangered,47000.0
Baheng (China),China,Vulnerable,45000.0
Lumun,Sudan,Definitely endangered,45000.0
Quichua (Loja),Ecuador,Severely endangered,45000.0
Chamling,Nepal,Definitely endangered,44093.0
Irish,"Ireland, United Kingdom of Great Britain and Northern Ireland",Definitely endangered,44000.0
Reshe,Nigeria,Vulnerable,44000.0
Sierra Otomí,Mexico,Vulnerable,43468.0
